ingredient_id,molecule_id
024f58fe-fa97-432b-99e6-46d609b2afc5,57
024f58fe-fa97-432b-99e6-46d609b2afc5,58
024f58fe-fa97-432b-99e6-46d609b2afc5,62
024f58fe-fa97-432b-99e6-46d609b2afc5,67
024f58fe-fa97-432b-99e6-46d609b2afc5,76
024f58fe-fa97-432b-99e6-46d609b2afc5,80
024f58fe-fa97-432b-99e6-46d609b2afc5,84
024f58fe-fa97-432b-99e6-46d609b2afc5,106
024f58fe-fa97-432b-99e6-46d609b2afc5,125
024f58fe-fa97-432b-99e6-46d609b2afc5,131
024f58fe-fa97-432b-99e6-46d609b2afc5,158
024f58fe-fa97-432b-99e6-46d609b2afc5,216
024f58fe-fa97-432b-99e6-46d609b2afc5,298
024f58fe-fa97-432b-99e6-46d609b2afc5,325
024f58fe-fa97-432b-99e6-46d609b2afc5,335
024f58fe-fa97-432b-99e6-46d609b2afc5,345
024f58fe-fa97-432b-99e6-46d609b2afc5,368
024f58fe-fa97-432b-99e6-46d609b2afc5,417
024f58fe-fa97-432b-99e6-46d609b2afc5,452
024f58fe-fa97-432b-99e6-46d609b2afc5,491
024f58fe-fa97-432b-99e6-46d609b2afc5,510
024f58fe-fa97-432b-99e6-46d609b2afc5,519
024f58fe-fa97-432b-99e6-46d609b2afc5,538
024f58fe-fa97-432b-99e6-46d609b2afc5,552
024f58fe-fa97-432b-99e6-46d609b2afc5,588
024f58fe-fa97-432b-99e6-46d609b2afc5,695
024f58fe-fa97-432b-99e6-46d609b2afc5,703
024f58fe-fa97-432b-99e6-46d609b2afc5,802
024f58fe-fa97-432b-99e6-46d609b2afc5,805
024f58fe-fa97-432b-99e6-46d609b2afc5,811
024f58fe-fa97-432b-99e6-46d609b2afc5,899
024f58fe-fa97-432b-99e6-46d609b2afc5,1162
024f58fe-fa97-432b-99e6-46d609b2afc5,1207
024f58fe-fa97-432b-99e6-46d609b2afc5,1365
024f58fe-fa97-432b-99e6-46d609b2afc5,1391
024f58fe-fa97-432b-99e6-46d609b2afc5,1458
024f58fe-fa97-432b-99e6-46d609b2afc5,1495
024f58fe-fa97-432b-99e6-46d609b2afc5,1496
024f58fe-fa97-432b-99e6-46d609b2afc5,1500
024f58fe-fa97-432b-99e6-46d609b2afc5,1501
024f58fe-fa97-432b-99e6-46d609b2afc5,1523
024f58fe-fa97-432b-99e6-46d609b2afc5,1546
024f58fe-fa97-432b-99e6-46d609b2afc5,1569
024f58fe-fa97-432b-99e6-46d609b2afc5,1577
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,5
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,6
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,8
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,14
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,16
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,18
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,19
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,28
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,33
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,38
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,41
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,44
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,51
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,52
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,54
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,55
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,58
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,68
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,69
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,78
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,81
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,86
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,89
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,91
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,113
0266c734-04fd-4f2d-81f0-2eb2fe314e2f,127
